"Symbol zákazníka";"Symbol";"Označení výrobce";"Výrobce";"Množství";"Jednotka";"Cena bez DPH";"Cena s DPH";"Hodnota bez DPH";"Hodnota s DPH";"Měna"
"";"USB4085-GF-A";"USB4085-GF-A";"GCT";"1";"ks";"17.895";"21.62";"17.87";"21.62";"CZK"
"";"ABM8G-12.000MHZ-18";"ABM8G-12.000MHZ-18-D2Y-T";"ABRACON";"1";"ks";"6.255";"7.6";"6.28";"7.6";"CZK"
"";"MX25L6433FM2I-08G";"MX25L6433FM2I-08G/TUBE";"MACRONIX INTERNATIONAL";"1";"ks";"40.93";"49.53";"40.93";"49.53";"CZK"
"";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MICROCHIP TECHNOLOGY";"1";"ks";"10.666";"13.01";"10.75";"13.01";"CZK"
"";"CL10B105KA8NNNC";"CL10B105KA8NNNC";"SAMSUNG";"2";"ks";"2.3909";"5.84";"4.83";"5.84";"CZK"
"";"GRM188R71H104KA93D";"GRM188R71H104KA93D";"MURATA";"12";"ks";"1.1721";"17.01";"14.06";"17.01";"CZK"
"";"LMK107BJ106MALTD";"LMK107 BJ106MALTD";"TAIYO YUDEN";"2";"ks";"2.5116";"6.13";"5.07";"6.13";"CZK"
"";"CC0603JRNPO9270";"CC0603JRNPO9BN270";"YAGEO";"2";"ks";"0.30912";"0.87";"0.72";"0.87";"CZK"
"";"B3U-1000PB";"B3U-1000P-B";"OMRON Electronic Components";"2";"ks";"16.543";"40.04";"33.09";"40.04";"CZK"
"";"ERJ3EKF27R0V";"ERJ3EKF27R0V";"PANASONIC";"10";"ks";"0.49508";"6.13";"5.07";"6.13";"CZK"
"";"CRCW06031K00FKEA";"CRCW06031K00FKEA";"VISHAY";"2";"ks";"0.17098";"0.29";"0.24";"0.29";"CZK"
"";"SC0914-7";"IC RP2040 (RP2B2) T&R 500 (7 REEL)";"RASPBERRY PI";"1";"ks";"17.16";"20.76";"17.16";"20.76";"CZK"
"";"WR06X5101FTL";"WR06X5101FTL";"WALSIN";"2";"ks";"1.45238";"3.51";"2.9";"3.51";"CZK"
"";"RC0603JR-0710K";"RC0603JR-0710KL";"YAGEO";"2";"ks";"0.66896";"1.75";"1.45";"1.75";"CZK"
