"Symbol zákazníka";"Symbol";"Označení výrobce";"Výrobce";"Množství";"Jednotka";"Cena bez DPH";"Cena s DPH";"Hodnota bez DPH";"Hodnota s DPH";"Měna"
"";"MX25L6433FM2I-08G";"MX25L6433FM2I-08G/TUBE";"MACRONIX INTERNATIONAL";"1";"ks";"40.9";"49.49";"40.9";"49.49";"CZK"
"";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MICROCHIP TECHNOLOGY";"1";"ks";"10.66";"13";"10.74";"13";"CZK"
"";"SC0914-7";"IC RP2040 (RP2B2) T&R 500 (7 REEL)";"RASPBERRY PI";"1";"ks";"17.15";"20.75";"17.15";"20.75";"CZK"
"";"WR06X5101FTL";"WR06X5101FTL";"WALSIN";"2";"ks";"1.44907";"3.5";"2.89";"3.5";"CZK"
"";"ABM8G-12.000MHZ-18";"ABM8G-12.000MHZ-18-D2Y-T";"ABRACON";"1";"ks";"6.241";"7.57";"6.26";"7.57";"CZK"
"";"LMK107BJ106MALTD";"LMK107 BJ106MALTD";"TAIYO YUDEN";"2";"ks";"2.5059";"6.12";"5.06";"6.12";"CZK"
"";"CC0603JRNPO9270";"CC0603JRNPO9BN270";"YAGEO";"2";"ks";"0.30842";"0.87";"0.72";"0.87";"CZK"
"";"B3U-1000PB";"B3U-1000P-B";"OMRON Electronic Components";"2";"ks";"16.505";"39.94";"33.01";"39.94";"CZK"
"";"CRCW06031K00FKEA";"CRCW06031K00FKEA";"VISHAY";"2";"ks";"0.17059";"0.29";"0.24";"0.29";"CZK"
"";"RC0603JR-0710K";"RC0603JR-0710KL";"YAGEO";"2";"ks";"0.66743";"1.75";"1.45";"1.75";"CZK"
"";"GRM155R61E105MA12D";"GRM155R61E105MA12D";"MURATA";"2";"ks";"0.74406";"1.73";"1.43";"1.73";"CZK"
"";"GRM155R71C104KA88D";"GRM155R71C104KA88D";"MURATA";"12";"ks";"0.23613";"3.45";"2.85";"3.45";"CZK"
"";"ERJ2RKF27R0X";"ERJ2RKF27R0X";"PANASONIC";"2";"ks";"2.06012";"4.96";"4.1";"4.96";"CZK"
"";"USB4105-GF-A";"USB4105-GF-A";"GCT";"1";"ks";"15.686";"18.95";"15.66";"18.95";"CZK"
